Price_CLP,Price_UF,Price_USD,Comuna,Ubicacion,Dorms,Baths,Built Area,Total Area,Parking,id,Realtor
40000000,1124,49813,Santiago,JuanMartínezdeRozas2454,3,1,37,32,,11423079,Rosario
69400500,1950,86427,EstaciónCentral,FedericoScotto130,1,1,32,34,,11694241,Property Link
135242000,3800,168421,Ñuñoa,Cauquenes,1,1,37,37,1,11946695,Looff Propiedades
270484000,7600,336842,Huechuraba,Avpedrofontova/staelenadehuechuraba,4,3,117,37,,6356312,Jaime Moris Propiedades (Providencia)
70000000,1967,87173,PuenteAlto,ElSoldador/CalleBelen,5,1,79,37,,6492108,Procasa Adrián Ulloa Propiedades
99652000,2800,124100,Santiago,Santiago,2,1,37,37,,5825990,Agente Propiedades
120000000,3372,149440,Macul,Pje.Ocho4123,5,5,37,37,,11045647,
50000000,1405,62267,LaPintana,Lasloicas,2,1,,40,1,11405163,Legales y Propiedades SpA
120000000,3372,149440,Ñuñoa,Vicuñamackennanu-60660/bustamante,2,1,43,40,,9257293,Propiedades Centro Santiago SPA
72959500,2050,90859,Santiago,LordCochraren,1,1,41,41,,11357821,RUKAM SPA
78440360,2204,97684,Maipú,3poniente,2,1,41,41,4,9432202,Nathaly Propiedades
56944000,1600,70914,Pudahuel,Puyehue1341,2,2,60,41,,9945298,
60467410,1699,75302,Pudahuel,Pudahuel,2,1,42,42,1,12108748,Corredores Asociados - OpenBrokers
56000000,1573,69738,PuenteAlto,ElBotón1771,3,1,42,42,2,12007987,
80433400,2260,100166,Recoleta,Dardignac28,1,1,35,42,,12006744,Munay Gestión Inmobiliaria
88975000,2500,110803,LaFlorida,Rupanco,1,1,42,42,,11357618,RUKAM SPA
62000000,1742,77210,Independencia,IndependenciahipódromodeChile,2,1,42,42,,8178479,Easyprop
63000000,1770,78456,ElBosque,Av.Loblanconu-61050/granavenida,3,1,52,42,,9624805,Propiedades Centro Santiago SPA
37000000,1040,46077,SanBernardo,CerroCantillanaesquinaCondell,2,1,42,42,2,10310132,Urbalia
83636500,2350,104155,Independencia,AvenidaIndependencia1815,2,1,43,43,1,11945483,Looff Propiedades
56908410,1599,70870,SanBernardo,JuanGuzmanCruchaga,3,1,60,43,2,10759131,Agente Inmobiliario
56944000,1600,70914,SanBernardo,VillaEduardoAnguita,3,1,43,43,1,11387628,Urbalia
45000000,1264,56040,Lampa,Av.Michimalongo,3,2,44,44,1,4662128,Unne
95000000,2669,118306,PuenteAlto,AvMexico/ElPeral/VillaAndesdelSur,3,1,96,44,,6662176,Jaime Moris Propiedades (Providencia)
61000000,1714,75965,Buin,Pasajetres356,2,1,98,45,1,12041705,Mi Llave
68000000,1911,84682,PuenteAlto,EjercitoLibertador,2,1,45,45,1,11985653,Corredores Asociados - OpenBrokers
49000000,1377,61021,Ñuñoa,sucreymanuelmontt,2,1,45,45,,11019915,Unne
75000000,2107,93400,Santiago,Marín,2,2,45,45,,11228578,RUKAM SPA
60000000,1686,74720,LaFlorida,Topacio10910,2,1,45,45,,11270456,Urbalia
30000000,843,37360,PuenteAlto,Sargentomenadier2010,1,1,45,45,1,11225644,Todo Propiedades
85000000,2388,105853,LaGranja,IsladePascua680,2,1,47,47,3,11998379,Munay Gestión Inmobiliaria
76874400,2160,95734,QuintaNormal,elqui,3,1,68,48,,11922038,Agente365 Chile
87195500,2450,108587,SanBernardo,YC57997LosAlicantos/Av.Portales,3,2,90,48,1,7072529,Propiedades Centro Santiago SPA
92534000,2600,115235,Recoleta,Purranque,3,1,36,48,,6574671,Houm
76518500,2150,95291,QuintaNormal,cruchagamontt,3,1,49,49,,11358215,RUKAM SPA
39000000,1096,48568,LaPintana,Av.LoMartínez/Gabriela,3,1,63,49,1,8678070,Procasa Adrián Ulloa Propiedades
164425800,4620,204764,Ñuñoa,ArmandoCarrera5106,1,1,38,49,1,7567994,Property Link
65000000,1826,80946,Maipú,Entrelasnacionesytresponiente,2,1,50,50,,12056116,Movahome Corredores Integrados
75000000,2107,93400,Peñaflor,pasaje1163parqueresidencialtoribiolarrain,2,1,50,50,,11967256,Corredores Asociados - OpenBrokers
65000000,1826,80946,LaFlorida,Noespecifica,2,1,48,50,,11919803,Agente365 Chile
85000000,2388,105853,Maipú,PasajeSanRuben//SanManuel,4,2,43,50,,10703489,Unne
91000000,2557,113325,PuenteAlto,Lossalesianos/avmexico/metroprotectoradelainfancia,4,2,75,50,,7204421,Jaime Moris Propiedades (Providencia)
78000000,2192,97136,Ñuñoa,LostresAntonio/GuillermoMann,3,1,50,50,,9562860,Procasa Adrián Ulloa Propiedades
67000000,1883,83437,LoEspejo,Av.Cerrillos/Pdte.EduardoFreiMontalva,5,2,90,50,1,7437390,Procasa Adrián Ulloa Propiedades
57000000,1602,70984,Santiago,LordCochrane1409,2,1,50,50,1,11588474,Puquén Propiedades
40216700,1130,50083,LaPintana,Venta,3,1,50,50,,11448180,
45000000,1264,56040,LoEspejo,Americovespucio0000,3,2,40,50,1,7063716,
150000000,4215,186800,Providencia,MetroPedrodeValdivia,2,2,51,51,2,11985603,Corredores Asociados - OpenBrokers
80219860,2254,99900,Paine,LomasdePaine,2,1,52,52,2,11981468,Corredores Asociados - OpenBrokers
78000000,2192,97136,Maipú,halcon644,3,1,52,52,1,11974959,Corredores Asociados - OpenBrokers
80990000,2276,100859,PuenteAlto,Taquimetro,4,1,72,52,1,7652643,Agente Inmobiliario
121006000,3400,150692,Santiago,CompañiadeJesus/SanMartin,2,2,52,52,,10196387,Urbalia
75000000,2107,93400,SanBernardo,Santaines,3,1,52,52,1,11479116,Propiedades Abarca
68000000,1911,84682,Maipú,DelFerrocarril,3,1,72,53,1,8342731,Agente Inmobiliario
70000000,1967,87173,CerroNavia,manuelrodriguezconsanfrancisco,2,1,43,53,,10615330,Unne
54000000,1517,67248,CerroNavia,pasaje6casa1113,2,1,43,53,,11446926,
48000000,1349,59776,LaFlorida,ColegioMariaElena,3,1,102,54,,7669111,Mi Llave
129000000,3625,160648,Maipú,Nuevasanmartin/tresponiente,2,1,144,54,,7902303,Mauricio Pino Propiedades
70000000,1967,87173,Renca,Renca,3,1,54,54,1,11606636,
65000000,1826,80946,LoEspejo,Vientesur/managua,2,2,54,54,1,6752110,Propiedades Centro Santiago SPA
70000000,1967,87173,PuenteAlto,PaimunPoniente,2,1,45,54,1,7372961,Unne
70000000,1967,87173,PuenteAlto,PaimúnPoniente,2,1,,54,1,6383759,Metro cúbico propiedades
48046500,1350,59834,Maipú,JulioSosa1640,2,1,55,55,1,12000270,Corredores Asociados - OpenBrokers
110000000,3091,136986,Maipú,LasNacionesconNuevaSanMartín,2,2,55,55,3,11934382,Corredores Asociados - OpenBrokers
130000000,3653,161893,Ñuñoa,Casa3Pisosenexcelenteubicación,2,2,82,55,1,6722305,Corretajes Prosal
140000000,3934,174346,Ñuñoa,Casa3PisoscercanaaEst.MetroS.Bolívar,2,2,78,55,1,6722295,Corretajes Prosal
78000000,2192,97136,PadreHurtado,PasajeLosJeronimos,3,2,110,55,1,8847397,Agente Inmobiliario
85000000,2388,105853,EstaciónCentral,EstaciónCentral,3,1,53,55,,8516430,
121006000,3400,150692,PuenteAlto,Losazahares3253,3,1,131,55,,11309369,Nexxos
60000000,1686,74720,Colina,ValleVerde,2,1,55,55,2,11016878,Urbalia
85416000,2400,106371,ElMonte,ElMonte,3,2,55,55,1,11066931,Iroga Propiedades
81000000,2276,100872,PuenteAlto,DesiertodeAtacama2748,2,1,50,55,1,6716016,
64000000,1798,79701,PuenteAlto,SalitreraCastilla2322,4,1,60,55,2,9629961,Maritza Andrea Pelayo Lobos
85000000,2388,105853,EstaciónCentral,AvenidaPedroAguirreCerda,3,1,53,55,,8505694,
65841500,1850,81994,Quilicura,Salesianos,2,1,80,56,1,9513451,Unne
50000000,1405,62267,Ñuñoa,Casade1PisoenPobl.RositaRenard,2,1,30,56,,5633688,Corretajes Prosal
62000000,1742,77210,PuenteAlto,GetsemaniNorte/GetsemaniSur,3,1,50,56,,9392019,Procasa Adrián Ulloa Propiedades
96000000,2697,119552,Colina,VillaLasAraucarias,3,2,56,56,,9886442,Urbalia
58000000,1630,72229,Quilicura,Quilicura,2,1,56,56,1,10831854,Agente Propiedades
119000000,3344,148194,PadreHurtado,loszorzales727,3,3,57,57,1,11967192,Corredores Asociados - OpenBrokers
