Precio en dolares,Recamaras,Area total
86427,1,34
168421,1,37
87173,5,37
124100,2,37
149440,5,37
62267,2,40
149440,2,40
90859,1,41
97684,2,41
70914,2,41
75302,2,42
69738,3,42
100166,1,42
110803,1,42
77210,2,42
78456,3,42
46077,2,42
104155,2,43
70870,3,43
70914,3,43
56040,3,44
118306,3,44
75965,2,45
84682,2,45
61021,2,45
93400,2,45
74720,2,45
37360,1,45
105853,2,47
95734,3,48
108587,3,48
115235,3,48
95291,3,49
48568,3,49
204764,1,49
80946,2,50
93400,2,50
80946,2,50
105853,4,50
113325,4,50
97136,3,50
83437,5,50
70984,2,50
50083,3,50
56040,3,50
186800,2,51
99900,2,52
97136,3,52
100859,4,52
150692,2,52
93400,3,52
84682,3,53
87173,2,53
67248,2,53
59776,3,54
160648,2,54
87173,3,54
80946,2,54
87173,2,54
87173,2,54
59834,2,55
136986,2,55
161893,2,55
174346,2,55
97136,3,55
105853,3,55
150692,3,55
74720,2,55
106371,3,55
100872,2,55
79701,4,55
105853,3,55
81994,2,56
62267,2,56
77210,3,56
119552,3,56
72229,2,56
148194,3,57
230471,2,57
156912,4,57
77210,2,57
128532,2,57
101053,3,57
78456,3,58
84682,3,58
98381,2,58
132964,3,58
234903,2,58
259280,2,58
81684,2,58
88643,3,58
77833,2,58
199253,4,58
97994,2,58
80946,3,58
68493,1,59
161773,3,59
108144,3,60
65463,4,60
164384,3,60
105853,2,60
102117,2,60
62267,3,60
64757,3,60
132964,3,60
80946,3,60
91258,3,60
74720,3,60
52304,2,60
85540,2,60
155666,4,60
78456,3,60
101053,3,60
94316,3,60
62267,3,60
66002,3,60
88643,2,60
68493,3,60
80946,3,60
68493,2,60
70984,3,60
62267,3,60
68493,3,60
4,3,60
74720,2,60
80946,3,60
99626,3,60
58531,2,60
80946,3,60
249066,3,60
56040,2,60
56040,3,60
68493,2,60
73130,3,60
80946,3,60
84682,2,60
68493,2,60
74720,2,60
77210,3,60
61828,2,60
79701,2,60
87161,3,60
77210,3,60
105853,2,60
80946,2,60
84682,2,60
74720,4,61
93400,4,61
66002,3,61
87173,3,61
84682,3,61
88643,2,61
89664,2,61
110803,3,61
61163,3,62
108587,2,62
74720,4,62
87756,3,62
167534,3,62
86427,2,62
70984,3,62
167534,3,62
81994,3,62
85928,3,62
177285,3,62
59776,3,62
101939,4,62
93400,2,62
99626,3,62
93400,2,62
84210,2,62
75346,2,62
56040,3,62
109589,4,62
69738,3,63
6758,2,63
90909,3,63
67248,2,63
6758,2,63
83437,3,63
74720,4,63
43587,3,63
80946,4,63
165629,3,63
80946,4,63
68698,4,63
68493,4,63
66002,3,63
76588,2,63
70859,2,64
79335,3,64
130760,3,64
59776,2,64
230386,4,64
130760,3,64
79701,4,64
101939,3,65
97507,3,65
105853,3,65
79701,4,65
111690,3,65
68493,3,65
221163,3,65
62267,3,65
111690,3,65
88294,3,65
75346,2,65
84682,2,65
92011,2,65
114127,2,65
87173,2,65
105853,2,66
100476,2,66
79701,3,66
56040,4,66
89664,2,66
91834,3,66
70984,3,66
112080,3,66
59776,2,66
68493,2,66
62267,2,66
66002,2,67
68493,2,67
146949,3,67
55044,3,67
56040,3,67
78456,2,67
93400,2,67
98381,3,67
87049,3,68
122665,3,68
97136,3,68
92154,3,68
70984,3,68
99626,5,68
108344,4,68
62267,3,68
84166,3,68
101318,3,68
93400,2,68
9307,3,68
92154,4,69
97507,2,69
95890,2,69
52304,3,69
74720,3,69
93400,2,69
112080,3,69
108344,3,69
66002,2,69
74720,2,69
68493,3,69
74707,3,69
69738,3,70
96886,2,70
80946,2,70
84682,2,70
168421,1,70
100875,3,70
87173,3,70
68493,3,70
149440,3,70
122042,2,70
104595,2,70
124533,2,70
93400,2,70
61644,2,70
130760,4,70
69738,2,70
87173,3,70
98381,3,70
68493,3,70
80946,2,70
95890,5,70
72229,2,70
61021,2,70
106814,2,70
93400,3,70
135180,1,70
175069,3,70
84682,3,70
110803,3,70
79778,3,70
84682,4,70
72229,3,70
102117,4,70
103362,4,70
159402,3,70
332410,4,70
159402,3,70
93400,2,70
118306,3,70
90909,5,70
90286,2,70
84682,2,70
95291,2,70
58531,3,70
87173,3,70
82814,3,70
57174,2,70
193026,3,70
98381,3,70
67248,4,70
84682,2,70
168120,3,70
99626,4,70
53549,1,70
70984,2,70
105853,3,70
102117,4,70
108344,3,70
68493,4,70
124408,3,70
110834,3,70
87173,2,71
80946,1,71
109589,2,71
43587,1,71
120332,2,71
72229,2,71
58531,3,71
69116,2,71
94645,3,72
89664,3,72
242839,5,72
52742,2,72
80946,1,72
211706,5,72
62267,5,72
99626,4,72
99626,3,72
87269,4,72
97136,4,72
78456,2,72
93400,3,72
97507,2,72
68493,4,72
230471,3,72
89664,3,72
118306,2,72
99626,3,72
94022,2,72
74105,2,72
120797,2,72
97136,4,72
87173,3,72
93400,4,72
70984,4,72
95890,2,72
127379,3,72
93400,3,73
62267,3,73
168120,4,73
130760,2,73
122042,3,73
179501,3,73
98381,2,73
102117,3,73
93275,2,73
89972,3,73
107098,2,73
99723,3,74
124533,2,74
93400,2,74
85928,3,74
97136,3,74
77210,3,74
105853,3,74
93400,2,74
105853,3,74
100255,2,74
149440,3,74
103362,3,74
81108,3,75
105853,3,75
112080,3,75
172853,3,75
97136,2,75
193026,3,75
174346,2,75
90909,6,75
161893,3,75
99626,3,75
136986,4,75
84698,2,75
80946,4,75
118306,4,75
146260,4,75
128532,2,75
118294,4,75
161893,3,75
279224,3,75
98132,2,75
106371,3,75
88917,2,75
120997,3,75
124533,4,75
118306,3,75
129418,3,75
118306,3,75
112080,3,75
80946,3,75
130760,3,75
87313,3,75
89086,3,75
92154,2,75
199253,3,75
155666,2,75
177285,3,75
279224,3,75
88909,3,75
128532,2,75
78456,2,75
64757,2,75
87173,3,75
161893,2,75
119667,3,75
149440,4,75
100166,3,76
161893,3,76
97507,3,76
87049,2,76
398493,4,76
398493,4,76
98381,2,76
163989,3,76
163989,3,76
84682,3,76
48568,2,76
89664,4,76
97136,3,76
99102,2,76
105928,5,76
130760,3,77
68369,2,77
93400,3,77
199446,3,77
80946,3,77
108344,3,77
87173,3,77
162881,2,77
67248,3,77
236613,4,77
93400,2,78
93400,3,78
68698,3,78
89664,3,78
127113,3,78
93400,2,78
108344,3,78
80946,3,78
72229,2,78
203435,3,78
73474,3,78
82192,3,78
112080,4,78
174346,4,78
70914,2,78
93075,2,78
114039,3,78
107656,3,78
84682,3,78
98381,3,78
124100,4,78
99626,3,78
80946,4,78
70984,4,79
68493,3,79
93400,3,79
93400,3,79
93275,3,79
99626,2,79
105853,4,79
93400,2,79
98381,2,79
141968,4,79
92777,3,79
106371,3,79
83280,3,79
87173,2,79
97136,3,79
70361,4,79
93400,3,80
93400,3,80
105853,4,80
93400,2,80
283656,2,80
115816,2,80
124533,4,80
69738,2,80
99723,3,80
93400,3,80
68493,2,80
202859,4,80
83767,2,80
173724,4,80
199253,3,80
120797,4,80
108344,2,80
118338,3,80
112080,2,80
94404,3,80
187169,4,80
97136,4,80
136986,3,80
77210,2,80
161880,4,80
172853,3,80
97507,3,80
68493,3,80
186800,4,80
161893,4,80
145704,3,80
110803,2,80
146949,3,80
127497,3,80
66002,2,80
78456,4,80
74097,2,80
195014,3,80
93400,5,80
101895,2,80
136986,3,80
217174,3,80
94645,3,80
99626,3,80
90908,3,80
47945,3,80
149440,4,80
95890,4,80
64757,3,80
100872,3,80
88418,2,80
94645,4,80
58531,4,80
108344,4,80
78456,3,80
92154,3,80
104608,2,80
70984,3,80
112080,3,80
80946,3,80
217933,5,80
170637,3,80
123288,5,80
134496,3,80
92777,3,80
68493,4,80
152953,3,80
280199,3,80
140233,3,80
87173,2,80
93400,3,80
77210,2,80
161893,5,80
98381,3,80
105853,4,80
89664,2,80
56040,2,80
120797,4,80
78456,2,80
158094,3,80
104608,3,80
106327,4,80
168120,3,80
95690,2,80
136986,3,80
79778,2,80
82814,4,80
87173,2,80
97773,3,80
116438,5,80
80946,4,80
99626,2,80
97108,4,80
112080,2,80
72852,2,80
89664,3,80
882038,4,80
81108,3,80
143213,3,80
74720,3,80
67995,2,80
77210,2,80
66002,3,80
118306,3,80
118306,2,80
84682,2,80
73474,4,80
112080,3,80
92154,2,80
102117,3,80
126316,2,80
93400,3,80
145704,3,80
93400,2,80
78331,3,80
104608,3,81
74720,1,81
89307,2,81
76501,4,81
112080,3,81
105853,3,81
89664,2,81
118306,3,81
105853,4,81
104608,3,81
93387,2,81
99626,2,81
105853,3,81
89664,2,81
437894,3,81
93400,3,81
102117,3,81
56040,4,81
86550,2,82
87173,3,82
80946,3,82
163989,3,82
156454,3,82
99626,4,82
219390,5,82
161644,3,82
124533,3,82
62050,2,82
84565,3,82
122042,2,83
106814,4,83
97136,3,83
112080,3,83
112080,3,83
101496,2,83
316853,3,84
143213,2,84
93562,4,84
105853,4,84
68493,2,84
112080,3,84
102117,3,84
93400,2,84
72229,2,84
86550,3,84
168421,4,84
87173,3,84
126316,3,84
85928,3,84
114570,3,84
109589,3,84
95641,2,84
105853,3,84
143213,3,84
105853,3,84
97136,3,84
105853,2,85
112080,4,85
93400,2,85
95890,2,85
114570,2,85
99502,4,85
68493,3,85
126759,3,85
155666,3,85
155125,3,85
70361,3,85
106371,3,85
76488,4,85
102117,4,85
70984,2,85
68493,3,85
118306,3,85
86550,3,85
108344,3,85
87173,3,85
155666,3,85
112080,5,85
149440,3,85
108344,4,85
80946,2,85
156986,3,85
93400,2,85
102117,4,85
149440,3,85
97136,2,85
80946,4,85
130881,3,85
130305,5,85
87796,2,85
89664,3,85
130760,4,85
118306,3,85
112080,3,85
146438,3,86
224159,4,86
86427,3,86
97136,2,86
94360,3,86
105853,3,86
232687,3,86
99626,3,86
100249,2,86
93400,3,87
98381,2,87
93400,4,87
124100,3,87
80946,4,87
87173,2,87
149440,4,87
80946,4,87
99626,3,87
66002,2,87
120797,3,87
120797,3,87
110834,3,87
110834,3,87
80946,3,87
84682,3,87
93400,3,88
93400,3,88
89664,4,88
199446,3,88
105729,3,88
112080,3,88
174346,3,88
226650,3,88
102740,4,88
256177,3,88
105853,3,89
98381,2,89
139612,3,89
105853,4,89
115816,4,89
136986,3,89
97507,3,89
464487,4,89
94645,3,90
89664,3,90
93400,2,90
109589,3,90
108344,3,90
161893,4,90
137396,3,90
109589,3,90
261519,3,90
95202,5,90
80946,3,90
113019,3,90
66002,3,90
99626,3,90
99626,3,90
74720,4,90
190582,3,90
97136,3,90
190582,3,90
74720,4,90
124533,2,90
130760,4,90
57285,3,90
118306,6,90
155654,2,90
87173,3,90
112080,4,90
67248,5,90
62267,3,90
79778,3,90
80946,2,90
155666,3,90
261496,3,90
109474,5,90
84682,4,90
433905,1,90
221606,5,90
93400,3,90
97136,3,90
79452,3,90
102028,2,90
93400,3,90
115235,4,90
186149,3,90
230471,3,90
125872,3,90
69738,2,90
75965,3,90
136986,2,90
124533,4,90
68493,2,90
112080,4,90
67248,5,90
88643,4,90
124533,2,90
114570,4,90
102117,3,90
68493,3,90
96443,2,90
96443,3,90
112576,2,90
77210,2,90
122042,2,90
112080,3,90
86924,5,90
99502,2,90
136986,3,90
80946,2,90
112080,3,90
155666,3,90
136986,3,90
105853,4,90
84920,3,90
83324,4,90
112080,3,90
93400,3,90
87173,3,90
99626,4,90
112080,2,90
99626,5,90
143213,3,90
373599,4,90
221606,3,90
104548,2,90
365651,4,90
103362,2,90
93400,2,90
73474,4,90
203878,3,90
124100,3,90
87173,3,90
97136,3,90
124533,4,90
93400,2,90
149440,4,90
69738,4,90
102117,3,90
125778,3,90
77210,3,90
136986,3,90
155666,3,90
105853,2,91
325762,3,91
106371,2,91
112080,4,91
95890,3,91
122042,2,91
105853,2,91
99626,2,91
149440,3,91
224159,3,91
73751,3,91
99502,3,91
102117,3,91
99626,2,92
80946,5,92
80946,4,92
98381,3,92
136986,5,92
141828,5,92
176842,5,92
160523,3,92
109589,2,92
105853,4,92
171856,3,92
108344,3,92
85928,3,92
95890,2,92
105928,2,92
122042,3,92
265928,4,92
95890,3,93
186800,3,93
78892,2,93
99626,3,93
83767,2,93
230471,3,93
161893,3,93
92676,2,93
175956,3,93
167534,3,93
122042,3,93
181052,3,94
99626,3,94
99626,3,94
137396,3,94
70984,4,94
109589,3,94
137396,3,94
174346,3,94
112080,3,94
171856,3,94
172454,3,95
105853,4,95
342382,3,95
99502,2,95
159402,3,95
124533,3,95
84147,3,95
80946,5,95
93400,3,95
80946,3,95
150692,4,95
134496,3,95
230262,3,95
118306,3,95
159402,3,95
68493,3,95
74097,4,95
101939,2,95
64757,3,95
58531,4,95
74720,2,95
101939,2,95
130760,4,96
159402,3,96
148920,3,96
199253,3,96
147457,3,96
99626,2,96
136986,2,96
122042,4,96
119756,3,96
117451,3,96
81569,2,97
161893,5,97
135180,3,97
116122,2,97
56040,4,97
77210,2,97
274792,3,97
97136,3,97
88332,3,97
86692,2,97
86692,2,97
99626,2,97
175113,3,97
136986,4,97
89664,5,97
99626,2,97
163457,4,97
155666,3,98
109589,3,98
99626,2,98
153130,3,98
130760,3,98
160842,3,98
124533,3,98
97136,2,98
99626,2,98
130760,3,98
112080,3,98
126316,3,98
97136,4,98
94645,4,98
230471,3,98
163989,3,98
226039,3,98
79701,4,98
79701,4,98
119667,4,98
183933,3,98
153130,3,98
112080,3,98
474238,4,98
110803,3,98
163989,3,98
94645,4,98
103362,4,98
62267,3,98
102870,3,98
107098,3,98
91745,4,99
101939,4,99
184155,5,99
89664,3,99
98305,4,99
119667,2,99
133250,3,99
155666,3,100
113325,3,100
161893,2,100
143213,4,100
211706,2,100
109589,4,100
143213,3,100
90909,4,100
192902,3,100
69738,3,100
221606,3,100
168421,3,100
228476,4,100
174346,3,100
128269,3,100
167978,3,100
310249,4,100
68493,3,100
109589,4,100
95890,4,100
99626,5,100
174346,3,100
134028,5,100
498132,3,100
130760,6,100
96177,3,100
101629,4,100
136986,3,100
113325,3,100
74720,3,100
80946,3,100
110803,2,100
105355,4,100
213584,5,100
118306,4,100
74720,4,100
155125,3,100
235367,4,100
168120,4,100
242839,4,100
118306,3,100
70914,2,100
115235,4,100
64757,1,100
93075,2,100
49813,2,100
94848,5,100
149427,3,100
79468,3,100
139612,4,100
124533,2,100
96638,4,100
149440,4,100
80946,3,100
165983,2,100
186800,4,100
141828,4,100
133250,3,100
139612,4,100
85928,4,100
102117,3,100
139568,4,100
84682,6,100
104155,3,100
97136,5,100
97136,3,100
68493,3,100
261519,5,100
134515,4,100
122042,4,100
93400,2,100
112080,2,100
206094,3,100
161893,3,100
178172,7,100
84682,3,100
118306,3,100
105853,3,100
97136,2,100
72229,4,100
108344,2,100
136986,2,100
131058,3,100
90909,3,100
83437,4,100
93400,4,100
