id,satisfaction_v2,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Seat comfort,Departure/Arrival time convenient,Food and drink,Gate location,Inflight wifi service,Inflight entertainment,Online support,Ease of Online booking,On-board service,Leg room service,Baggage handling,Checkin service,Cleanliness,Online boarding,Departure Delay in Minutes,Arrival Delay in Minutes
75838,satisfied,Female,Loyal Customer,59,Business travel,Business,1470,4,4,4,4,5,4,4,4,4,4,4,5,4,3,7,0.0
123651,neutral or dissatisfied,Female,disloyal Customer,22,Business travel,Eco,1771,1,1,1,4,4,1,5,4,3,4,3,1,4,4,0,0.0
1310,satisfied,Male,Loyal Customer,55,Business travel,Business,3657,0,5,0,2,4,5,4,4,4,4,4,3,4,3,12,8.0
48710,satisfied,Female,Loyal Customer,41,Business travel,Business,1796,0,4,0,1,2,4,5,3,3,3,3,5,3,3,0,0.0
71009,neutral or dissatisfied,Male,Loyal Customer,42,Business travel,Eco,1709,2,3,3,3,2,2,2,2,4,4,4,1,3,2,0,0.0
19969,neutral or dissatisfied,Male,Loyal Customer,36,Business travel,Business,3035,3,2,2,2,1,4,4,3,3,2,3,4,3,3,48,38.0
34338,neutral or dissatisfied,Male,disloyal Customer,28,Business travel,Eco,1904,1,2,2,2,2,2,1,2,1,5,1,4,5,2,0,0.0
80179,satisfied,Female,Loyal Customer,58,Personal Travel,Eco,2496,5,5,5,5,4,5,4,3,3,4,3,5,3,5,61,102.0
77461,satisfied,Male,Loyal Customer,54,Business travel,Business,3260,5,5,5,5,2,5,4,4,4,4,4,4,4,4,1,0.0
83263,neutral or dissatisfied,Female,Loyal Customer,25,Business travel,Business,3640,2,4,2,4,2,2,2,2,4,4,1,4,3,2,86,63.0
9486,satisfied,Female,Loyal Customer,32,Business travel,Business,1465,4,4,4,4,5,5,5,5,3,5,5,3,4,5,36,81.0
13251,neutral or dissatisfied,Female,Loyal Customer,52,Business travel,Eco,812,3,4,4,4,3,4,4,3,3,3,3,3,3,3,0,0.0
83757,satisfied,Female,disloyal Customer,29,Business travel,Business,2773,4,4,4,3,1,4,1,1,4,5,4,5,4,1,0,0.0
513,satisfied,Male,Loyal Customer,56,Business travel,Business,55,3,3,3,3,4,5,5,4,4,4,4,3,4,3,0,0.0
73027,satisfied,Female,Loyal Customer,57,Personal Travel,Eco,1099,2,2,5,2,4,5,4,4,4,5,4,4,4,4,0,0.0
55365,satisfied,Female,Loyal Customer,57,Business travel,Business,728,3,3,3,3,2,5,5,4,4,4,4,5,4,3,4,0.0
49071,satisfied,Female,Loyal Customer,48,Business travel,Eco,339,5,5,1,5,3,3,1,5,5,5,5,2,5,3,0,0.0
21862,satisfied,Male,Loyal Customer,23,Business travel,Business,2074,1,1,1,1,1,2,1,1,4,1,5,5,1,1,0,3.0
89241,neutral or dissatisfied,Female,Loyal Customer,49,Business travel,Eco Plus,491,1,2,2,2,5,3,3,1,1,1,1,2,1,2,0,0.0
6135,satisfied,Male,disloyal Customer,28,Business travel,Business,2161,5,5,5,3,1,5,1,1,3,3,4,3,5,1,0,0.0
110824,neutral or dissatisfied,Male,Loyal Customer,36,Personal Travel,Eco,2095,1,5,1,3,1,1,1,1,4,3,4,3,5,1,0,4.0
21411,satisfied,Male,Loyal Customer,41,Business travel,Business,3553,0,0,0,3,2,4,4,2,2,5,5,1,2,2,23,19.0
32778,satisfied,Male,Loyal Customer,16,Business travel,Business,1675,4,4,4,4,5,5,3,5,4,3,4,1,2,5,0,0.0
11031,neutral or dissatisfied,Male,Loyal Customer,66,Business travel,Eco,1031,1,1,1,1,1,1,1,1,1,3,4,4,3,1,0,0.0
9848,neutral or dissatisfied,Male,Loyal Customer,58,Business travel,Eco,1878,3,1,1,1,3,3,3,3,1,4,4,2,4,3,43,46.0
4650,satisfied,Female,Loyal Customer,47,Business travel,Business,499,3,3,3,3,2,5,4,4,4,4,4,4,4,5,47,36.0
21358,satisfied,Male,Loyal Customer,61,Personal Travel,Eco,2338,4,4,4,4,3,4,3,3,4,2,4,5,5,3,0,0.0
77732,neutral or dissatisfied,Male,Loyal Customer,47,Business travel,Business,3112,1,5,5,5,2,4,4,1,1,1,1,4,1,1,0,0.0
36907,satisfied,Female,Loyal Customer,53,Personal Travel,Eco,2102,4,4,4,4,2,4,5,4,4,4,4,4,4,4,0,0.0
35528,neutral or dissatisfied,Male,Loyal Customer,48,Personal Travel,Eco,2241,2,4,3,1,3,3,3,3,3,5,4,3,5,3,0,0.0
97594,satisfied,Female,Loyal Customer,59,Business travel,Business,1682,3,3,3,3,5,4,5,3,3,2,3,5,3,3,2,0.0
80033,satisfied,Female,Loyal Customer,13,Personal Travel,Eco,2696,5,5,5,5,4,5,5,4,4,4,4,5,4,3,0,0.0
39116,neutral or dissatisfied,Male,disloyal Customer,49,Business travel,Eco,910,2,4,2,4,1,2,1,1,1,3,4,1,4,1,0,0.0
2513,satisfied,Male,Loyal Customer,58,Business travel,Business,2119,2,2,2,2,3,4,5,5,5,5,4,4,5,5,0,0.0
64060,satisfied,Female,Loyal Customer,51,Business travel,Business,959,4,4,4,4,3,4,5,4,4,4,4,3,4,5,2,0.0
105710,neutral or dissatisfied,Female,disloyal Customer,23,Business travel,Eco,1574,1,1,1,3,4,1,4,4,2,5,4,2,4,4,22,24.0
4352,satisfied,Female,Loyal Customer,49,Business travel,Business,3599,1,1,1,1,4,5,4,5,5,5,5,3,5,4,0,0.0
108094,neutral or dissatisfied,Female,Loyal Customer,20,Business travel,Eco,2170,2,5,5,5,2,3,2,2,2,4,3,4,4,2,8,2.0
76722,neutral or dissatisfied,Female,disloyal Customer,39,Business travel,Business,2144,1,1,1,3,3,1,3,3,1,3,4,3,3,3,1,0.0
50338,satisfied,Female,Loyal Customer,48,Business travel,Business,3825,5,5,5,5,5,3,1,4,4,4,3,4,4,1,0,5.0
27093,satisfied,Male,Loyal Customer,24,Business travel,Business,2594,1,1,1,1,5,5,5,5,3,2,4,2,5,5,0,0.0
48606,satisfied,Female,Loyal Customer,43,Personal Travel,Eco,852,1,1,1,1,4,4,4,4,3,3,5,4,5,4,0,0.0
71872,neutral or dissatisfied,Male,Loyal Customer,49,Personal Travel,Eco,2917,2,5,2,4,3,2,3,3,3,5,3,4,4,3,0,0.0
46260,neutral or dissatisfied,Male,Loyal Customer,23,Personal Travel,Eco,1884,4,4,2,2,5,2,5,5,4,2,4,4,4,5,1,11.0
104397,neutral or dissatisfied,Male,disloyal Customer,20,Business travel,Eco,2071,1,1,1,3,1,1,1,1,4,4,4,4,4,1,26,10.0
31047,satisfied,Male,Loyal Customer,30,Business travel,Business,1533,5,2,5,5,5,5,5,5,1,3,1,2,1,5,0,0.0
94436,neutral or dissatisfied,Male,Loyal Customer,77,Business travel,Business,1660,3,3,4,3,3,2,2,3,3,3,3,3,3,4,0,0.0
104262,neutral or dissatisfied,Male,Loyal Customer,36,Business travel,Business,1681,2,3,3,3,5,4,3,2,2,2,2,3,2,3,20,12.0
40138,satisfied,Female,Loyal Customer,44,Personal Travel,Eco Plus,232,5,4,5,4,5,5,5,4,4,5,4,4,4,4,0,0.0
20590,neutral or dissatisfied,Male,disloyal Customer,36,Business travel,Eco Plus,1846,2,2,2,3,2,2,2,2,2,5,4,4,4,2,36,35.0
92577,satisfied,Male,Loyal Customer,80,Business travel,Eco Plus,1278,5,3,3,3,5,5,5,5,3,5,3,5,2,5,0,0.0
72191,neutral or dissatisfied,Male,Loyal Customer,46,Business travel,Business,4288,3,5,2,5,2,3,2,1,3,4,4,2,1,2,168,201.0
75523,satisfied,Female,Loyal Customer,35,Business travel,Business,385,2,2,3,2,2,5,5,4,4,4,4,4,4,5,0,0.0
77998,neutral or dissatisfied,Female,Loyal Customer,61,Business travel,Eco,371,3,1,1,1,4,3,3,3,3,3,3,3,3,2,0,36.0
16099,satisfied,Female,Loyal Customer,61,Personal Travel,Eco,353,4,4,4,4,3,5,5,5,5,5,5,5,5,3,0,0.0
77924,neutral or dissatisfied,Male,Loyal Customer,44,Personal Travel,Business,2051,1,0,1,5,1,5,5,4,2,5,5,5,5,5,83,142.0
