Anio,Mes,Cliente,Producto,Unidades_vendidas,Precio_por_unidad,Venta_total
2019,Jan,Customer 103,Product D,93,24.47930621,2276.575478
2019,Jan,Customer 72,Product E,21,62.53435625,1313.221481
2019,Jan,Customer 467,Product C,75,87.09591868,6532.193901
2019,Jan,Customer 100,Product C,22,87.09591868,1916.110211
2019,Jan,Customer 344,Product D,30,24.47930621,734.3791863
2019,Jan,Customer 192,Product D,21,24.47930621,514.0654304
2019,Jan,Customer 314,Product E,89,62.53435625,5565.557706
2019,Jan,Customer 59,Product B,92,90.00859829,8280.791043
2019,Jan,Customer 271,Product C,55,87.09591868,4790.275527
2019,Jan,Customer 131,Product E,51,62.53435625,3189.252169
2019,Jan,Customer 329,Product B,4,90.00859829,360.0343932
2019,Jan,Customer 14,Product B,9,90.00859829,810.0773846
2019,Jan,Customer 386,Product D,92,24.47930621,2252.096171
2019,Jan,Customer 455,Product D,8,24.47930621,195.8344497
2019,Jan,Customer 206,Product A,36,72.55920558,2612.131401
2019,Jan,Customer 388,Product B,6,90.00859829,540.0515897
2019,Jan,Customer 260,Product E,63,62.53435625,3939.664444
2019,Jan,Customer 44,Product B,74,90.00859829,6660.636273
2019,Jan,Customer 270,Product D,62,24.47930621,1517.716985
2019,Jan,Customer 208,Product E,82,62.53435625,5127.817213
2019,Jan,Customer 280,Product B,89,90.00859829,8010.765248
2019,Jan,Customer 380,Product E,41,62.53435625,2563.908606
2019,Jan,Customer 301,Product A,89,72.55920558,6457.769297
2019,Jan,Customer 344,Product A,8,72.55920558,580.4736446
2019,Jan,Customer 139,Product C,81,87.09591868,7054.769413
2019,Jan,Customer 419,Product A,5,72.55920558,362.7960279
2019,Jan,Customer 41,Product D,7,24.47930621,171.3551435
2019,Jan,Customer 268,Product B,33,90.00859829,2970.283744
2019,Jan,Customer 407,Product E,99,62.53435625,6190.901269
2019,Jan,Customer 214,Product C,35,87.09591868,3048.357154
2019,Jan,Customer 101,Product C,1,87.09591868,87.09591868
2019,Jan,Customer 255,Product C,9,87.09591868,783.8632681
2019,Jan,Customer 346,Product B,77,90.00859829,6930.662068
2019,Jan,Customer 352,Product A,52,72.55920558,3773.07869
2019,Jan,Customer 388,Product E,23,62.53435625,1438.290194
2019,Jan,Customer 143,Product C,29,87.09591868,2525.781642
2019,Jan,Customer 160,Product C,86,87.09591868,7490.249006
2019,Jan,Customer 170,Product E,62,62.53435625,3877.130088
2019,Jan,Customer 134,Product D,28,24.47930621,685.4205739
2019,Jan,Customer 340,Product C,92,87.09591868,8012.824519
2019,Jan,Customer 190,Product A,1,72.55920558,72.55920558
